nombre;año;mes;precio;volumen
Camote;2021;03;0.93;6320.00
Camote;2021;04;1.06;6837.00
Camote;2021;05;0.89;6506.00
Camote;2021;06;0.85;6274.00
Camote;2021;07;1.01;5866.00
Camote;2021;08;1.16;6723.00
Camote;2021;09;1.11;6627.00
Camote;2021;10;0.98;7164.00
Camote;2021;11;0.94;7962.00
Camote;2021;12;0.87;7987.00
Cebolla cabeza roja;2020;01;0.63;17559.00
Cebolla cabeza roja;2020;02;0.60;17715.00
Cebolla cabeza roja;2020;03;1.18;22747.00
Cebolla cabeza roja;2020;04;1.46;20474.00
Cebolla cabeza roja;2020;05;1.30;17418.00
Cebolla cabeza roja;2020;06;1.53;15408.00
Cebolla cabeza roja;2020;07;0.96;18706.00
Cebolla cabeza roja;2020;08;1.01;18925.00
Cebolla cabeza roja;2020;09;1.19;17063.00
Cebolla cabeza roja;2020;10;1.29;19248.00
Cebolla cabeza roja;2020;11;1.13;20128.00
Cebolla cabeza roja;2020;12;1.01;16891.00
Cebolla cabeza roja;2021;01;1.09;19479.00
Cebolla cabeza roja;2021;02;0.94;19150.00
Cebolla cabeza roja;2021;03;0.93;21590.00
Cebolla cabeza roja;2021;04;0.89;23439.00
Cebolla cabeza roja;2021;05;0.64;19193.00
Cebolla cabeza roja;2021;06;0.71;16193.00
Cebolla cabeza roja;2021;07;0.69;18780.00
Cebolla cabeza roja;2021;08;0.76;18788.00
Cebolla cabeza roja;2021;09;1.34;16630.00
Cebolla cabeza roja;2021;10;1.55;17601.00
Cebolla cabeza roja;2021;11;1.39;19778.00
Cebolla cabeza roja;2021;12;1.25;18736.00
Frijol grano seco;2020;01;1.67;257.00
Frijol grano seco;2020;02;1.89;368.00
Frijol grano seco;2020;03;2.42;212.00
Frijol grano seco;2020;04;2.08;41.00
Frijol grano seco;2020;05;2.99;119.00
Frijol grano seco;2020;06;2.41;151.00
Frijol grano seco;2020;07;2.46;220.00
Frijol grano seco;2020;08;2.42;246.00
Frijol grano seco;2020;09;2.43;355.00
Frijol grano seco;2020;10;1.87;608.00
Frijol grano seco;2020;11;1.91;431.00
Frijol grano seco;2020;12;2.19;371.00
Frijol grano seco;2021;01;2.65;496.00
Frijol grano seco;2021;02;2.68;299.00
Frijol grano seco;2021;03;2.69;88.00
Frijol grano seco;2021;04;2.75;150.00
Frijol grano seco;2021;05;2.20;204.00
Frijol grano seco;2021;06;2.22;254.00
Frijol grano seco;2021;07;2.17;163.00
Frijol grano seco;2021;08;2.56;234.00
