eli,Precipitacion,Humedad,'Direccion del Viento','Velocidad del Viento',Temperatura_
2527,0,43,167,16,5.0
36829,0,83,348,12,3.0
21576,0,19,355,24,5.0
6583,0,1,132,23,4.0
28639,0,55,360,8,2.0
13774,0,57,331,15,3.0
8526,0,60,139,13,4.0
38017,0,47,28,7,3.0
6287,0,1,227,10,2.0
39286,0,29,111,65,5.0
27221,2,78,36,8,4.0
19380,0,83,201,35,5.0
8953,0,70,31,18,5.0
1761,0,31,11,17,4.0
2275,0,35,353,12,4.0
28836,0,45,181,23,6.0
3751,0,54,334,16,4.0
25708,0,84,346,13,3.0
2195,0,50,186,23,5.0
29787,0,45,11,15,4.0
40022,0,38,346,12,5.0
40952,0,84,331,11,3.0
2529,0,44,6,10,4.0
16958,0,46,295,25,6.0
38665,0,46,112,15,5.0
7405,0,82,119,4,4.0
19603,0,88,178,18,5.0
13048,0,93,162,13,4.0
23329,0,94,42,7,3.0
22227,0,64,14,11,3.0
26564,2,1,101,8,4.0
5194,0,79,321,14,4.0
37484,0,32,121,42,6.0
32158,0,73,63,7,4.0
19301,0,1,360,17,3.0
25517,0,59,27,13,5.0
6127,0,66,127,47,5.0
17298,0,93,125,32,4.0
34060,14,89,224,54,5.0
26234,0,60,12,47,5.0
38402,0,37,10,10,4.0
5232,0,48,26,13,3.0
34589,4,90,296,34,4.0
33843,29,1,340,8,4.0
26915,0,80,277,6,4.0
4985,0,30,34,15,4.0
487,18,1,175,24,5.0
25678,0,94,175,6,4.0
34953,0,79,4,12,2.0
24636,0,94,138,7,3.0
1904,0,53,296,16,5.0
16241,0,88,173,31,5.0
26708,0,94,339,9,5.0
4098,0,37,127,59,5.0
30352,0,18,129,56,6.0
4164,0,53,7,17,3.0
37507,0,34,183,38,6.0
39346,0,43,344,43,3.0
26696,0,93,28,19,3.0
39103,0,39,27,10,3.0
34989,0,50,133,44,5.0
3262,0,27,175,28,6.0
21554,0,11,310,47,4.0
27101,0,1,268,7,3.0
31972,0,76,285,9,3.0
23151,0,47,137,34,4.0
40781,0,84,15,12,3.0
27821,0,86,336,9,3.0
28222,0,1,263,5,3.0
