eli,Precipitacion,Humedad,'Direccion del Viento','Velocidad del Viento',Temperatura_
33488,0,72,29,10,3.0
25746,0,1,116,35,3.0
32791,0,58,158,38,5.0
28632,0,77,353,8,3.0
29494,0,43,38,8,3.0
4588,0,58,126,56,5.0
17041,3,1,280,9,4.0
36388,0,95,335,16,4.0
10294,0,91,141,4,4.0
29965,0,29,163,28,6.0
38986,0,45,303,19,3.0
16581,0,1,156,7,4.0
41079,0,67,200,15,4.0
27709,0,49,176,17,6.0
27912,0,79,346,30,4.0
27683,2,56,343,23,3.0
24523,0,86,204,11,3.0
8522,0,65,195,7,3.0
22008,0,37,349,10,4.0
471,28,1,57,9,4.0
30811,0,47,196,28,5.0
13340,0,66,61,8,3.0
18455,0,1,143,8,4.0
35336,0,79,349,14,3.0
34775,0,77,121,31,5.0
4381,0,32,131,54,6.0
39040,0,20,306,28,6.0
1847,2,83,279,28,4.0
34983,0,64,297,7,2.0
38686,0,36,155,46,6.0
16614,0,81,337,13,3.0
28742,0,55,122,55,5.0
1598,0,56,165,31,6.0
16460,0,84,152,14,4.0
24379,0,95,128,35,3.0
7011,17,1,297,5,2.0
8422,0,54,155,26,4.0
8100,0,93,38,11,3.0
37708,0,55,341,19,3.0
13153,0,57,15,23,3.0
10345,0,81,323,31,4.0
27471,0,61,143,38,7.0
3278,0,49,38,15,3.0
1741,0,57,195,14,6.0
23299,0,75,125,41,5.0
39186,0,33,145,34,5.0
26311,0,81,294,10,3.0
1795,0,59,169,33,6.0
28842,27,82,88,9,4.0
35214,0,91,280,6,4.0
19860,0,65,201,10,5.0
36992,0,60,45,8,4.0
24316,0,95,161,9,3.0
31928,0,39,336,28,4.0
9241,0,86,295,6,3.0
5011,0,69,14,9,3.0
2005,0,34,140,40,6.0
36366,0,86,37,8,3.0
31867,0,67,188,32,6.0
1679,0,77,330,11,4.0
34009,4,91,46,9,3.0
19737,0,90,28,10,3.0
12420,0,84,155,27,4.0
28593,0,7,30,26,3.0
31966,0,80,47,9,3.0
13313,0,37,211,7,5.0
3428,0,30,220,25,7.0
14312,0,50,218,2,3.0
12318,0,43,42,43,5.0
22390,0,51,169,35,4.0
6970,0,91,37,5,3.0
19243,4,91,302,9,4.0
2719,0,19,134,35,6.0
30335,0,29,224,47,4.0
28961,0,51,185,31,5.0
1315,0,65,189,14,5.0
8450,0,57,309,7,3.0
21558,0,3,360,30,4.0
5732,0,33,130,2,4.0
37132,0,61,33,13,3.0
30389,0,47,357,10,4.0
4502,0,66,336,13,4.0
28381,0,64,139,30,5.0
22041,0,50,9,49,4.0
563,0,62,359,33,5.0
24912,0,84,37,11,4.0
6784,0,89,33,17,3.0
22663,0,62,14,6,4.0
35904,2,95,163,6,4.0
16166,0,38,23,39,7.0
19743,0,67,187,33,6.0
4866,0,83,23,9,3.0
28341,0,72,306,17,5.0
23846,0,94,153,6,4.0
4287,0,26,191,16,5.0
8529,0,67,279,6,3.0
16183,0,55,21,13,4.0
21417,0,25,305,29,4.0
19983,0,29,143,35,6.0
5787,0,7,21,28,3.0
9790,0,69,134,33,5.0
20141,0,69,30,9,3.0
24691,0,95,115,28,3.0
35104,0,46,171,14,6.0
35340,0,87,297,11,3.0
25798,4,92,285,10,4.0
16208,0,72,329,7,3.0
38698,0,32,52,15,3.0
2126,0,82,29,10,3.0
17683,0,89,176,17,5.0
31014,0,44,29,25,4.0
41096,0,75,185,6,3.0
18594,0,89,159,33,5.0
24870,0,69,133,6,4.0
38412,0,49,53,23,3.0
14995,0,45,6,15,4.0
36788,0,75,171,37,5.0
12012,0,1,118,7,3.0
22656,0,1,307,15,3.0
23904,0,92,243,5,3.0
20621,0,37,30,23,4.0
9198,0,95,312,14,3.0
9576,0,91,234,3,4.0
14665,0,49,27,14,3.0
29005,0,44,177,14,7.0
12672,0,70,320,43,4.0
17734,6,1,133,16,3.0
5743,0,33,346,22,3.0
31591,0,60,36,11,3.0
602,0,95,282,11,4.0
17661,0,93,85,47,3.0
39867,0,70,349,11,3.0
828,0,51,343,7,6.0
38480,0,61,346,29,3.0
26702,0,77,156,26,6.0
36165,0,90,230,15,5.0
4101,0,39,110,76,5.0
17961,1,1,193,7,3.0
31205,0,59,341,13,3.0
13085,0,79,14,9,3.0
6052,0,50,156,11,4.0
19973,0,43,360,14,3.0
26833,0,84,42,16,3.0
11007,0,67,138,38,5.0
38569,0,49,224,6,4.0
19286,0,89,306,6,4.0
32127,0,55,150,42,6.0
18170,0,93,354,6,4.0
18042,0,94,127,35,4.0
26763,0,84,232,8,3.0
37669,0,35,22,14,3.0
19124,9,1,183,10,3.0
3546,0,48,55,11,3.0
25240,0,34,136,35,6.0
30280,0,21,166,40,6.0
669,0,87,329,7,4.0
19844,1,1,148,15,4.0
1091,0,68,328,29,6.0
12830,0,79,123,37,6.0
17294,0,77,196,6,5.0
29933,0,49,272,2,3.0
30666,0,36,155,33,5.0
200,0,77,133,26,5.0
20558,0,35,182,22,7.0
35816,0,66,50,10,4.0
25392,27,87,335,14,3.0
19750,0,90,51,10,4.0
33729,2,1,195,5,3.0
23639,0,87,46,8,3.0
31356,0,31,183,29,6.0
17339,5,94,31,12,3.0
19421,0,79,15,13,5.0
5132,0,56,297,8,4.0
33269,0,92,11,11,3.0
44,0,89,347,18,4.0
15639,0,72,164,29,5.0
17514,0,81,105,56,6.0
17862,0,86,40,7,4.0
3002,0,53,346,24,3.0
24235,0,55,111,32,6.0
18856,0,77,138,41,5.0
15745,0,1,298,4,3.0
25852,0,79,32,10,4.0
