fecha,precio,volumen
23/09/17,1.76,273
24/09/17,1.94,109
25/09/17,2.13,77
26/09/17,2.11,236
27/09/17,2.05,179
28/09/17,1.93,284
29/09/17,1.94,184
30/09/17,2.13,258
01/10/17,2.04,137
02/10/17,1.94,34
03/10/17,2.31,244
04/10/17,2.31,149
05/10/17,2.34,306
06/10/17,2.3,300
07/10/17,2.31,259
08/10/17,2.22,180
09/10/17,2.13,104
10/10/17,2.06,238
11/10/17,2.11,175
12/10/17,2.14,277
13/10/17,1.97,276
14/10/17,1.76,206
15/10/17,1.77,133
16/10/17,1.79,62
17/10/17,1.92,285
18/10/17,1.9,197
19/10/17,1.94,325
20/10/17,1.93,325
21/10/17,1.79,311
22/10/17,1.76,48
23/10/17,1.74,73
24/10/17,1.74,297
25/10/17,1.71,183
26/10/17,1.92,321
27/10/17,1.94,241
28/10/17,1.97,252
29/10/17,1.96,203
30/10/17,1.94,79
31/10/17,1.97,235
01/11/17,1.93,222
02/11/17,1.93,242
03/11/17,1.81,257
04/11/17,1.76,236
05/11/17,1.75,181
06/11/17,1.74,37
07/11/17,1.93,262
08/11/17,1.93,191
09/11/17,1.79,245
10/11/17,1.74,239
11/11/17,1.76,172
12/11/17,1.77,161
13/11/17,1.79,51
14/11/17,1.94,290
15/11/17,1.97,221
16/11/17,1.79,247
17/11/17,1.79,315
18/11/17,1.79,280
19/11/17,1.76,160
20/11/17,1.74,23
21/11/17,1.92,343
22/11/17,1.94,247
23/11/17,1.79,255
24/11/17,1.74,304
25/11/17,1.74,319
26/11/17,1.75,215
27/11/17,1.77,79
28/11/17,1.57,397
29/11/17,1.42,287
30/11/17,1.23,248
01/12/17,1.2,266
02/12/17,1.05,262
03/12/17,1.03,154
04/12/17,1.02,132
05/12/17,1.18,387
06/12/17,1.17,274
07/12/17,1.05,271
08/12/17,1.02,279
09/12/17,1,356
10/12/17,0.99,231
11/12/17,0.97,65
12/12/17,0.88,358
13/12/17,0.88,264
14/12/17,0.97,264
15/12/17,0.88,315
16/12/17,0.85,281
17/12/17,0.87,183
18/12/17,0.88,76
19/12/17,0.97,428
