eli,DISTRITO,CULTIVO
2616,PUNO-MOHO-HUAYRAPATA,Olluco
2617,PUNO-MOHO-HUAYRAPATA,Quinua
2618,PUNO-MOHO-TILALI,Cebada grano
2619,PUNO-MOHO-TILALI,Maiz amilaceo
2620,PUNO-MOHO-TILALI,Quinua
2621,PUNO-SAN ANTONIO DE PUTINA-PUTINA,Cebada grano
2622,PUNO-SAN ANTONIO DE PUTINA-SINA,Haba grano seco
2623,PUNO-SAN ROMAN-JULIACA,Olluco
2624,PUNO-SAN ROMAN-JULIACA,Quinua
2625,PUNO-SAN ROMAN-CABANA,Cebada grano
2626,PUNO-SAN ROMAN-CABANA,Olluco
2627,PUNO-SAN ROMAN-CABANA,Quinua
2628,PUNO-SAN ROMAN-CABANILLAS,Cebada grano
2629,PUNO-SAN ROMAN-CABANILLAS,Olluco
2630,PUNO-SAN ROMAN-CABANILLAS,Quinua
2631,PUNO-SAN ROMAN-CARACOTO,Cebada grano
2632,PUNO-SAN ROMAN-CARACOTO,Olluco
2633,PUNO-SAN ROMAN-CARACOTO,Quinua
2634,PUNO-SANDIA-QUIACA,Arveja grano seco
2635,PUNO-SANDIA-SAN JUAN DEL ORO,Camote
2636,PUNO-SANDIA-SAN JUAN DEL ORO,Frijol grano seco
2637,PUNO-SANDIA-SAN JUAN DEL ORO,Maiz amarillo duro
2638,PUNO-SANDIA-SAN JUAN DEL ORO,Maiz amilaceo
2639,PUNO-SANDIA-SAN JUAN DEL ORO,Yuca
2640,PUNO-SANDIA-YANAHUAYA,Camote
2641,PUNO-SANDIA-YANAHUAYA,Frijol grano seco
2642,PUNO-SANDIA-YANAHUAYA,Maiz amilaceo
2643,PUNO-SANDIA-YANAHUAYA,Yuca
2644,PUNO-SANDIA-ALTO INAMBARI,Frijol grano seco
2645,PUNO-SANDIA-ALTO INAMBARI,Maiz amarillo duro
2646,PUNO-SANDIA-ALTO INAMBARI,Maiz amilaceo
2647,PUNO-SANDIA-ALTO INAMBARI,Yuca
2648,PUNO-SANDIA-SAN PEDRO DE PUTINA PUNCO,Camote
2649,PUNO-SANDIA-SAN PEDRO DE PUTINA PUNCO,Frijol grano seco
2650,PUNO-SANDIA-SAN PEDRO DE PUTINA PUNCO,Maiz amarillo duro
2651,PUNO-SANDIA-SAN PEDRO DE PUTINA PUNCO,Maiz amilaceo
2652,PUNO-SANDIA-SAN PEDRO DE PUTINA PUNCO,Yuca
2653,PUNO-YUNGUYO-YUNGUYO,Arveja grano seco
2654,PUNO-YUNGUYO-YUNGUYO,Maiz amilaceo
2655,PUNO-YUNGUYO-YUNGUYO,Olluco
2656,PUNO-YUNGUYO-YUNGUYO,Trigo
2657,PUNO-YUNGUYO-ANAPIA,Arveja grano seco
2658,PUNO-YUNGUYO-ANAPIA,Maiz amilaceo
2659,PUNO-YUNGUYO-ANAPIA,Trigo
2660,PUNO-YUNGUYO-COPANI,Arveja grano seco
2661,PUNO-YUNGUYO-COPANI,Olluco
2662,PUNO-YUNGUYO-CUTURAPI,Arveja grano seco
2663,PUNO-YUNGUYO-CUTURAPI,Haba grano seco
2664,PUNO-YUNGUYO-OLLARAYA,Arveja grano seco
2665,PUNO-YUNGUYO-TINICACHI,Arveja grano seco
2666,PUNO-YUNGUYO-TINICACHI,Cebada grano
2667,PUNO-YUNGUYO-TINICACHI,Maiz amilaceo
2668,PUNO-YUNGUYO-UNICACHI,Cebada grano
2669,PUNO-YUNGUYO-UNICACHI,Maiz amilaceo
2670,PUNO-YUNGUYO-UNICACHI,Trigo
2671,AMAZONAS-BONGARA-COROSHA,Olluco
2672,ANCASH-HUARAZ-INDEPENDENCIA,Papa nativa
2673,ANCASH-HUARAZ-JANGAS,Olluco
2674,ANCASH-BOLOGNESI-CANIS,Papa nativa
2675,ANCASH-CORONGO-ACO,Papa color
2676,ANCASH-CORONGO-ACO,Papa nativa
2677,ANCASH-CORONGO-CUSCA,Papa color
2678,ANCASH-CORONGO-CUSCA,Papa nativa
2679,ANCASH-POMABAMBA-HUAYLLAN,Quinua
2680,ANCASH-POMABAMBA-QUINUABAMBA,Quinua
2681,APURIMAC-AYMARAES-CHALHUANCA,Maiz choclo
2682,APURIMAC-AYMARAES-CAPAYA,Arveja grano verde
2683,APURIMAC-AYMARAES-CAPAYA,Zanahoria
2684,APURIMAC-AYMARAES-SORAYA,Arveja grano seco
2685,APURIMAC-AYMARAES-SORAYA,Arveja grano verde
2686,AREQUIPA-AREQUIPA-QUEQUEYA,Cebolla cabeza roja
2687,AREQUIPA-AREQUIPA-SABANDIA,Maiz choclo
2688,AREQUIPA-AREQUIPA-YARABAMBA,Cebolla cabeza roja
2689,AREQUIPA-AREQUIPA-YURA,Maiz choclo
2690,AREQUIPA-CARAVELI-ATIQUIPA,Maiz amarillo duro
2691,AREQUIPA-CARAVELI-CHALA,Frijol grano seco
2692,AREQUIPA-CARAVELI-HUANUHUANU,Camote
2693,AREQUIPA-CASTILLA-CHOCO,Maiz choclo
2694,AREQUIPA-CAYLLOMA-LLUTA,Olluco
2695,AREQUIPA-CAYLLOMA-TAPAY,Arveja grano verde
2696,AREQUIPA-CAYLLOMA-TAPAY,Maiz choclo
2697,AREQUIPA-CONDESUYOS-CHICHAS,Zapallo
2698,AREQUIPA-CONDESUYOS-SALAMANCA,Quinua
2699,AREQUIPA-LA UNION-ALCA,Zapallo
2700,AREQUIPA-LA UNION-CHARCANA,Frijol grano seco
2701,AREQUIPA-LA UNION-CHARCANA,Quinua
2702,AREQUIPA-LA UNION-HUAYNACOTAS,Olluco
2703,AREQUIPA-LA UNION-PAMPAMARCA,Frijol grano seco
2704,AREQUIPA-LA UNION-PAMPAMARCA,Olluco
2705,AREQUIPA-LA UNION-PUYCA,Olluco
2706,AREQUIPA-LA UNION-QUECHUALLA,Frijol grano seco
2707,AREQUIPA-LA UNION-TAURIA,Frijol grano seco
2708,AREQUIPA-LA UNION-TAURIA,Quinua
2709,AREQUIPA-LA UNION-TOMEPAMPA,Olluco
2710,AREQUIPA-LA UNION-TORO,Frijol grano seco
2711,CAJAMARCA-HUALGAYOC-CHUGUR,Haba grano seco
2712,CAJAMARCA-SAN MARCOS-ICHOCAN,Papa color
2713,CUSCO-ANTA-CHINCHAYPUJIO,Olluco
2714,CUSCO-ANTA-LIMATAMBO,Olluco
2715,CUSCO-CALCA-COYA,Arveja grano seco
2716,CUSCO-CANAS-CHECCA,Quinua
2717,CUSCO-CANAS-LAYO,Quinua
2718,CUSCO-CANCHIS-CHECACUPE,Cebolla cabeza roja
2719,CUSCO-CANCHIS-CHECACUPE,Maiz choclo
2720,CUSCO-CANCHIS-COMBAPATA,Cebolla cabeza roja
2721,CUSCO-CANCHIS-COMBAPATA,Maiz choclo
2722,CUSCO-CANCHIS-COMBAPATA,Zanahoria
2723,CUSCO-CANCHIS-PITUMARCA,Cebolla cabeza roja
2724,CUSCO-CANCHIS-SAN PABLO,Maiz choclo
2725,CUSCO-CANCHIS-SAN PEDRO,Maiz choclo
2726,CUSCO-URUBAMBA-OLLANTAYTAMBO,Frijol grano seco
2727,CUSCO-URUBAMBA-OLLANTAYTAMBO,Papa color
2728,HUANCAVELICA-HUANCAVELICA-CONAYCA,Arveja grano seco
2729,HUANCAVELICA-HUANCAVELICA-CONAYCA,Quinua
2730,HUANCAVELICA-HUANCAVELICA-IZCUCHACA,Quinua
2731,HUANCAVELICA-HUANCAVELICA-LARIA,Arveja grano seco
2732,HUANCAVELICA-HUANCAVELICA-MARISCAL CACERES,Arveja grano seco
2733,HUANCAVELICA-HUANCAVELICA-MARISCAL CACERES,Arveja grano verde
2734,HUANCAVELICA-HUANCAVELICA-MARISCAL CACERES,Quinua
2735,HUANCAVELICA-HUANCAVELICA-MARISCAL CACERES,Trigo
2736,HUANCAVELICA-HUANCAVELICA-NUEVO OCCORO,Ajo
2737,HUANCAVELICA-ACOBAMBA-ANDABAMBA,Olluco
2738,HUANCAVELICA-ACOBAMBA-ROSARIO,Olluco
2739,HUANCAVELICA-ANGARAES-CCOCHACCASA,Maiz amilaceo
2740,HUANCAVELICA-ANGARAES-CCOCHACCASA,Olluco
2741,HUANCAVELICA-TAYACAJA-QUICHUAS,Maiz amarillo duro
2742,HUANUCO-LAURICOCHA-QUEROPALCA,Olluco
2743,HUANUCO-LAURICOCHA-RONDOS,Arveja grano seco
2744,HUANUCO-LAURICOCHA-SAN FRANCISCO DE ASIS,Quinua
2745,ICA-CHINCHA-CHINCHA ALTA,Yuca
2746,ICA-CHINCHA-PUEBLO NUEVO,Yuca
2747,ICA-CHINCHA-SUNAMPE,Algodon
2748,JUNIN-HUANCAYO-EL TAMBO,Olluco
2749,JUNIN-CONCEPCION-ANDAMARCA,Maiz choclo
2750,JUNIN-CONCEPCION-ANDAMARCA,Zanahoria
2751,JUNIN-CONCEPCION-MARISCAL CASTILLA,Maiz amarillo duro
2752,JUNIN-CONCEPCION-ORCOTUNA,Olluco
2753,JUNIN-YAULI-HUAY-HUAY,Cebada grano
2754,JUNIN-YAULI-HUAY-HUAY,Haba grano seco
2755,LA LIBERTAD-TRUJILLO-SALAVERRY,Aji
2756,LA LIBERTAD-SANTIAGO DE CHUCO-MOLLEBAMBA,Olluco
2757,LIMA-LIMA-ATE,Tomate
2758,LIMA-LIMA-LA MOLINA,Algodon
2759,LIMA-HUAROCHIRI-HUAROCHIRI,Papa color
2760,LIMA-HUAROCHIRI-SAN PEDRO DE HUANCAYRE,Papa color
2761,LIMA-HUAROCHIRI-SANTIAGO DE ANCHUCAYA,Papa color
2762,LIMA-HUAROCHIRI-SANTIAGO DE ANCHUCAYA,Papa nativa
2763,LIMA-YAUYOS-YAUYOS,Papa blanca
2764,LIMA-YAUYOS-YAUYOS,Papa color
2765,LIMA-YAUYOS-AYAUCA,Papa color
2766,LIMA-YAUYOS-CACRA,Papa color
2767,LIMA-YAUYOS-COLONIA,Papa color
2768,LIMA-YAUYOS-HONGOS,Olluco
2769,LIMA-YAUYOS-HUANCAYA,Papa blanca
2770,LIMA-YAUYOS-LARAOS,Haba grano seco
2771,LIMA-YAUYOS-LARAOS,Olluco
2772,LIMA-YAUYOS-SAN JOAQUIN,Olluco
2773,MADRE DE DIOS-TAMBOPATA-LABERINTO,Camote
2774,MOQUEGUA-GENERAL SANCHEZ CERRO-OMATE,Frijol grano seco
2775,MOQUEGUA-GENERAL SANCHEZ CERRO-ICHUYA,Maiz amilaceo
2776,MOQUEGUA-ILO-EL ALGARROBAL,Tomate
2777,MOQUEGUA-ILO-PACOCHA,Maiz amarillo duro
2778,PASCO-PASCO-YANACANCHA,Maiz choclo
2779,PASCO-DANIEL ALCIDES CARRION-YANAHUANCA,Ajo
2780,PASCO-DANIEL ALCIDES CARRION-YANAHUANCA,Cebolla cabeza roja
2781,PASCO-DANIEL ALCIDES CARRION-SAN PEDRO DE PILLAO,Zapallo
2782,PIURA-PIURA-LA UNION,Tomate
2783,PIURA-PAITA-ARENAL,Paprika
2784,PUNO-PUNO-AMANTANI,Olluco
2785,PUNO-PUNO-PAUCARCOLLA,Cebolla cabeza roja
2786,PUNO-PUNO-PICHACANI,Haba grano seco
2787,PUNO-PUNO-PICHACANI,Olluco
2788,PUNO-PUNO-TIQUILLACA,Haba grano seco
2789,PUNO-PUNO-TIQUILLACA,Olluco
2790,PUNO-PUNO-VILQUE,Haba grano seco
2791,PUNO-PUNO-VILQUE,Olluco
2792,PUNO-AZANGARO-AZANGARO,Arveja grano seco
2793,PUNO-AZANGARO-AZANGARO,Haba grano seco
2794,PUNO-AZANGARO-ARAPA,Arveja grano seco
2795,PUNO-AZANGARO-ARAPA,Maiz amilaceo
2796,PUNO-AZANGARO-ASILLO,Arveja grano seco
2797,PUNO-AZANGARO-ASILLO,Haba grano seco
2798,PUNO-AZANGARO-CHUPA,Arveja grano seco
2799,PUNO-AZANGARO-CHUPA,Cebolla cabeza roja
2800,PUNO-AZANGARO-CHUPA,Maiz amilaceo
2801,PUNO-AZANGARO-CHUPA,Olluco
2802,PUNO-AZANGARO-JOSE D. CHOQUEHUANCA,Haba grano seco
2803,PUNO-AZANGARO-SAN ANTON,Haba grano seco
2804,PUNO-AZANGARO-SAN JOSE,Haba grano seco
2805,PUNO-AZANGARO-SAN JUAN DE SALINAS,Haba grano seco
2806,PUNO-AZANGARO-SANTIAGO DE PUPUJA,Arveja grano seco
2807,PUNO-AZANGARO-SANTIAGO DE PUPUJA,Haba grano seco
2808,PUNO-AZANGARO-TIRAPATA,Haba grano seco
2809,PUNO-CARABAYA-COASA,Cebolla cabeza roja
2810,PUNO-CARABAYA-CRUCERO,Quinua
2811,PUNO-CARABAYA-USICAYOS,Trigo
2812,PUNO-CHUCUITO-DESAGUADERO,Arveja grano seco
2813,PUNO-EL COLLAO-ILAVE,Cebolla cabeza roja
2814,PUNO-EL COLLAO-PILCUYO,Arveja grano seco
2815,PUNO-EL COLLAO-PILCUYO,Cebolla cabeza roja
2816,PUNO-EL COLLAO-PILCUYO,Olluco
2817,PUNO-HUANCANE-PUSI,Maiz amilaceo
2818,PUNO-LAMPA-CABANILLA,Cebolla cabeza roja
2819,PUNO-LAMPA-PUCARA,Haba grano seco
2820,PUNO-LAMPA-PUCARA,Olluco
2821,PUNO-LAMPA-PUCARA,Trigo
2822,PUNO-MELGAR-AYAVIRI,Olluco
2823,PUNO-MELGAR-CUPI,Haba grano seco
2824,PUNO-MELGAR-LLALLI,Haba grano seco
2825,PUNO-MELGAR-LLALLI,Olluco
2826,PUNO-MELGAR-LLALLI,Trigo
2827,PUNO-MELGAR-MACARI,Haba grano seco
2828,PUNO-MELGAR-MACARI,Olluco
2829,PUNO-MELGAR-MACARI,Trigo
2830,PUNO-MELGAR-NUYOA,Haba grano seco
2831,PUNO-MELGAR-NUYOA,Olluco
2832,PUNO-MELGAR-NUYOA,Trigo
2833,PUNO-MELGAR-ORURILLO,Haba grano seco
2834,PUNO-MELGAR-ORURILLO,Olluco
2835,PUNO-MELGAR-ORURILLO,Trigo
2836,PUNO-MELGAR-SANTA ROSA,Haba grano seco
2837,PUNO-MELGAR-SANTA ROSA,Trigo
2838,PUNO-MELGAR-UMACHIRI,Trigo
2839,PUNO-MOHO-CONIMA,Trigo
2840,PUNO-MOHO-TILALI,Arveja grano seco
2841,PUNO-MOHO-TILALI,Trigo
2842,PUNO-SAN ROMAN-JULIACA,Haba grano seco
2843,PUNO-SAN ROMAN-CABANA,Haba grano seco
2844,PUNO-SAN ROMAN-CARACOTO,Arveja grano seco
2845,PUNO-SAN ROMAN-CARACOTO,Haba grano seco
2846,PUNO-SANDIA-SANDIA,Maiz amarillo duro
2847,PUNO-YUNGUYO-COPANI,Maiz amilaceo
2848,PUNO-YUNGUYO-OLLARAYA,Maiz amilaceo
2849,PUNO-YUNGUYO-OLLARAYA,Trigo
2850,PUNO-YUNGUYO-UNICACHI,Arveja grano seco
2851,TACNA-TACNA-TACNA,Aji
2852,TACNA-TARATA-CHUCATAMANI,Aji
2853,UCAYALI-PADRE ABAD-PADRE ABAD,Camote
2854,AMAZONAS-CHACHAPOYAS-OLLEROS,Maiz choclo
2855,AMAZONAS-BONGARA-COROSHA,Haba grano seco
2856,ANCASH-ASUNCION-CHACAS,Olluco
2857,ANCASH-ASUNCION-ACOCHACA,Olluco
2858,ANCASH-BOLOGNESI-ANTONIO RAYMONDI,Frijol grano seco
2859,ANCASH-BOLOGNESI-COLQUIOC,Papa blanca
2860,ANCASH-BOLOGNESI-COLQUIOC,Papa color
2861,ANCASH-BOLOGNESI-HUAYLLACAYAN,Zapallo
2862,ANCASH-CARHUAZ-ANTA,Maiz choclo
2863,ANCASH-CARHUAZ-ATAQUERO,Maiz choclo
2864,ANCASH-CARHUAZ-SAN MIGUEL DE ACO,Maiz choclo
2865,ANCASH-CARHUAZ-SHILLA,Maiz choclo
2866,ANCASH-CARHUAZ-YUNGAR,Maiz choclo
2867,ANCASH-CARLOS FERMIN FITZCARRALD-SAN LUIS,Papa nativa
2868,ANCASH-CARLOS FERMIN FITZCARRALD-SAN NICOLAS,Papa color
2869,ANCASH-CARLOS FERMIN FITZCARRALD-SAN NICOLAS,Papa nativa
2870,ANCASH-MARISCAL LUZURIAGA-ELEAZAR GUZMAN BARRON,Papa blanca
2871,ANCASH-OCROS-CARHUAPAMPA,Papa color
2872,ANCASH-OCROS-CARHUAPAMPA,Trigo
2873,ANCASH-POMABAMBA-HUAYLLAN,Olluco
2874,ANCASH-POMABAMBA-PAROBAMBA,Papa color
2875,ANCASH-POMABAMBA-QUINUABAMBA,Olluco
2876,ANCASH-SANTA-CACERES DEL PERU,Zapallo
2877,ANCASH-SANTA-MACATE,Cebolla cabeza roja
2878,ANCASH-SANTA-NEPEYA,Frijol grano seco
2879,ANCASH-YUNGAY-MATACOTO,Maiz amilaceo
2880,APURIMAC-ABANCAY-CURAHUASI,Zapallo
2881,APURIMAC-ABANCAY-PICHIRHUA,Yuca
2882,APURIMAC-AYMARAES-CAPAYA,Cebolla cabeza roja
2883,APURIMAC-AYMARAES-CAPAYA,Maiz choclo
2884,APURIMAC-AYMARAES-CARAYBAMBA,Olluco
2885,APURIMAC-CHINCHEROS-CHINCHEROS,Maiz choclo
2886,APURIMAC-CHINCHEROS-COCHARCAS,Zapallo
2887,APURIMAC-CHINCHEROS-URANMARCA,Zapallo
2888,AREQUIPA-AREQUIPA-CHARACATO,Zapallo
2889,AREQUIPA-AREQUIPA-LA JOYA,Zapallo
2890,AREQUIPA-AREQUIPA-QUEQUEYA,Maiz amilaceo
2891,AREQUIPA-AREQUIPA-SABANDIA,Maiz amilaceo
2892,AREQUIPA-AREQUIPA-SABANDIA,Zapallo
2893,AREQUIPA-AREQUIPA-SAN JUAN DE SIGUAS,Arveja grano verde
2894,AREQUIPA-AREQUIPA-SAN JUAN DE SIGUAS,Papa color
2895,AREQUIPA-AREQUIPA-SOCABAYA,Maiz amilaceo
2896,AREQUIPA-AREQUIPA-YANAHUARA,Maiz amilaceo
2897,AREQUIPA-AREQUIPA-JOSE LUIS BUSTAMANTE Y RIVERO,Papa blanca
2898,AREQUIPA-CARAVELI-CARAVELI,Maiz amilaceo
2899,AREQUIPA-CARAVELI-ACARI,Algodon
2900,AREQUIPA-CARAVELI-ATICO,Yuca
2901,AREQUIPA-CARAVELI-QUICACHA,Haba grano seco
2902,AREQUIPA-CARAVELI-QUICACHA,Quinua
2903,AREQUIPA-CASTILLA-CHOCO,Arveja grano verde
2904,AREQUIPA-CASTILLA-CHOCO,Maiz amilaceo
2905,AREQUIPA-CASTILLA-PAMPACOLCA,Zapallo
2906,AREQUIPA-CASTILLA-TIPAN,Zapallo
2907,AREQUIPA-CAYLLOMA-ACHOMA,Ajo
2908,AREQUIPA-CAYLLOMA-CABANACONDE,Haba grano seco
2909,AREQUIPA-CAYLLOMA-CABANACONDE,Maiz amilaceo
2910,AREQUIPA-CAYLLOMA-TAPAY,Maiz amilaceo
2911,AREQUIPA-CAYLLOMA-YANQUE,Ajo
2912,AREQUIPA-CAYLLOMA-YANQUE,Maiz amilaceo
2913,AREQUIPA-CONDESUYOS-CHUQUIBAMBA,Haba grano seco
2914,AREQUIPA-CONDESUYOS-ANDARAY,Haba grano seco
2915,AREQUIPA-CONDESUYOS-IRAY,Maiz amilaceo
2916,AREQUIPA-ISLAY-COCACHACRA,Aji
2917,AREQUIPA-LA UNION-COTAHUASI,Haba grano seco
2918,AREQUIPA-LA UNION-COTAHUASI,Zapallo
2919,AREQUIPA-LA UNION-HUAYNACOTAS,Zapallo
2920,AREQUIPA-LA UNION-TOMEPAMPA,Zapallo
2921,CAJAMARCA-CELENDIN-CELENDIN,Olluco
2922,CAJAMARCA-CELENDIN-HUASMIN,Yuca
2923,CAJAMARCA-CELENDIN-JORGE CHAVEZ,Papa color
2924,CAJAMARCA-CELENDIN-JOSE GALVEZ,Olluco
2925,CAJAMARCA-CELENDIN-OXAMARCA,Olluco
2926,CAJAMARCA-CELENDIN-SUCRE,Olluco
2927,CAJAMARCA-CONTUMAZA-TANTARICA,Camote
2928,CAJAMARCA-CONTUMAZA-TANTARICA,Maiz amarillo duro
2929,CAJAMARCA-SAN MIGUEL-NANCHOC,Yuca
2930,CAJAMARCA-SANTA CRUZ-YAUYUCAN,Olluco
2931,CUSCO-ANTA-ANTA,Maiz amilaceo
2932,CUSCO-ANTA-ANCAHUASI,Maiz amilaceo
2933,CUSCO-ANTA-CACHIMAYO,Maiz amilaceo
2934,CUSCO-ANTA-CHINCHAYPUJIO,Maiz amilaceo
2935,CUSCO-ANTA-HUAROCONDO,Maiz amilaceo
2936,CUSCO-ANTA-HUAROCONDO,Olluco
2937,CUSCO-ANTA-PUCYURA,Maiz amilaceo
2938,CUSCO-ANTA-ZURITE,Maiz amilaceo
2939,CUSCO-CALCA-CALCA,Arveja grano verde
2940,CUSCO-CALCA-CALCA,Maiz choclo
2941,CUSCO-CALCA-CALCA,Papa blanca
2942,CUSCO-CALCA-CALCA,Papa color
2943,CUSCO-CALCA-COYA,Maiz choclo
2944,CUSCO-CALCA-COYA,Papa blanca
2945,CUSCO-CALCA-COYA,Papa color
2946,CUSCO-CALCA-LAMAY,Arveja grano verde
2947,CUSCO-CALCA-LAMAY,Maiz choclo
2948,CUSCO-CALCA-LAMAY,Papa color
2949,CUSCO-CALCA-PISAC,Arveja grano verde
2950,CUSCO-CALCA-PISAC,Maiz choclo
2951,CUSCO-CALCA-SAN SALVADOR,Maiz choclo
2952,CUSCO-CALCA-TARAY,Arveja grano verde
2953,CUSCO-CALCA-TARAY,Maiz choclo
2954,CUSCO-CANAS-KUNTURKANKI,Quinua
2955,CUSCO-CANAS-LANGUI,Haba grano seco
2956,CUSCO-CANAS-LANGUI,Quinua
2957,CUSCO-CANAS-PAMPAMARCA,Quinua
2958,CUSCO-CANCHIS-TINTA,Maiz choclo
2959,CUSCO-LA CONVENCION-ECHARATE,Maiz amilaceo
2960,CUSCO-LA CONVENCION-ECHARATE,Tomate
2961,CUSCO-LA CONVENCION-HUAYOPATA,Maiz amilaceo
2962,CUSCO-LA CONVENCION-OCOBAMBA,Maiz amilaceo
2963,CUSCO-LA CONVENCION-SANTA TERESA,Frijol grano seco
2964,CUSCO-LA CONVENCION-SANTA TERESA,Maiz amilaceo
2965,CUSCO-LA CONVENCION-SANTA TERESA,Yuca
2966,CUSCO-URUBAMBA-MACHUPICCHU,Maiz amarillo duro
2967,CUSCO-URUBAMBA-MACHUPICCHU,Maiz amilaceo
2968,CUSCO-URUBAMBA-MACHUPICCHU,Yuca
2969,CUSCO-URUBAMBA-MACHUPICCHU,Zapallo
2970,CUSCO-URUBAMBA-OLLANTAYTAMBO,Maiz amilaceo
2971,CUSCO-URUBAMBA-OLLANTAYTAMBO,Olluco
2972,CUSCO-URUBAMBA-OLLANTAYTAMBO,Papa nativa
2973,CUSCO-URUBAMBA-YUCAY,Maiz amilaceo
2974,CUSCO-URUBAMBA-YUCAY,Maiz choclo
2975,HUANCAVELICA-HUANCAVELICA-CONAYCA,Ajo
2976,HUANCAVELICA-HUANCAVELICA-CUENCA,Maiz choclo
2977,HUANCAVELICA-HUANCAVELICA-MARISCAL CACERES,Maiz choclo
2978,HUANCAVELICA-HUANCAVELICA-PALCA,Maiz choclo
2979,HUANCAVELICA-ACOBAMBA-ACOBAMBA,Maiz choclo
2980,HUANCAVELICA-ANGARAES-LIRCAY,Arveja grano verde
2981,HUANCAVELICA-ANGARAES-LIRCAY,Maiz choclo
2982,HUANCAVELICA-ANGARAES-CHINCHO,Maiz amarillo duro
2983,HUANCAVELICA-ANGARAES-CHINCHO,Zapallo
2984,HUANCAVELICA-ANGARAES-HUANCA-HUANCA,Maiz choclo
2985,HUANCAVELICA-ANGARAES-HUAYLLAY GRANDE,Arveja grano verde
2986,HUANCAVELICA-ANGARAES-HUAYLLAY GRANDE,Maiz choclo
2987,HUANCAVELICA-CASTROVIRREYNA-CHUPAMARCA,Quinua
2988,HUANCAVELICA-CASTROVIRREYNA-HUAMATAMBO,Olluco
2989,HUANCAVELICA-CASTROVIRREYNA-TANTARA,Zapallo
2990,HUANCAVELICA-HUAYTARA-AYAVI,Frijol grano seco
2991,HUANCAVELICA-HUAYTARA-HUAYACUNDO ARMA,Maiz amilaceo
2992,HUANCAVELICA-HUAYTARA-QUITO-ARMA,Maiz amilaceo
2993,HUANCAVELICA-HUAYTARA-QUITO-ARMA,Quinua
2994,HUANCAVELICA-HUAYTARA-SAN ANTONIO DE CUSICANCHA,Maiz amilaceo
2995,HUANCAVELICA-TAYACAJA-ACOSTAMBO,Maiz choclo
2996,HUANCAVELICA-TAYACAJA-ACOSTAMBO,Olluco
2997,HUANCAVELICA-TAYACAJA-PAZOS,Zapallo
2998,HUANCAVELICA-TAYACAJA-TINTAY PUNCU,Arveja grano verde
2999,HUANCAVELICA-TAYACAJA-PICHOS,Zapallo
3000,HUANUCO-DOS DE MAYO-QUIVILLA,Arveja grano verde
3001,HUANUCO-DOS DE MAYO-SHUNQUI,Maiz choclo
3002,HUANUCO-DOS DE MAYO-YANAS,Maiz choclo
3003,HUANUCO-MARANON-HUACRACHUCO,Yuca
3004,HUANUCO-LAURICOCHA-JESUS,Papa blanca
3005,HUANUCO-LAURICOCHA-JESUS,Papa color
3006,HUANUCO-LAURICOCHA-BAYOS,Olluco
3007,HUANUCO-LAURICOCHA-JIVIA,Olluco
3008,HUANUCO-LAURICOCHA-JIVIA,Papa blanca
3009,HUANUCO-LAURICOCHA-JIVIA,Papa color
3010,HUANUCO-LAURICOCHA-RONDOS,Papa blanca
3011,HUANUCO-YAROWILCA-CHAVINILLO,Maiz amilaceo
3012,HUANUCO-YAROWILCA-CHUPAN,Haba grano seco
3013,HUANUCO-YAROWILCA-JACAS CHICO,Haba grano seco
3014,HUANUCO-YAROWILCA-OBAS,Maiz amilaceo
3015,HUANUCO-YAROWILCA-PAMPAMARCA,Maiz amilaceo
3016,ICA-CHINCHA-ALTO LARAN,Algodon
3017,ICA-CHINCHA-CHINCHA BAJA,Algodon
3018,ICA-CHINCHA-TAMBO DE MORA,Algodon
3019,ICA-PALPA-SANTA CRUZ,Paprika
3020,ICA-PISCO-PISCO,Algodon
3021,ICA-PISCO-HUMAY,Algodon
3022,JUNIN-HUANCAYO-PILCOMAYO,Arveja grano seco
3023,JUNIN-CONCEPCION-ORCOTUNA,Arveja grano verde
3024,JUNIN-CHANCHAMAYO-VITOC,Zapallo
3025,JUNIN-TARMA-TARMA,Maiz amilaceo
3026,JUNIN-TARMA-LA UNION,Maiz amilaceo
3027,JUNIN-TARMA-LA UNION,Maiz choclo
3028,JUNIN-TARMA-PALCA,Maiz amilaceo
3029,JUNIN-TARMA-PALCAMAYO,Maiz amilaceo
3030,JUNIN-TARMA-PALCAMAYO,Maiz choclo
3031,LA LIBERTAD-PATAZ-PATAZ,Papa nativa
3032,LA LIBERTAD-SANTIAGO DE CHUCO-SANTIAGO DE CHUCO,Zanahoria
3033,LA LIBERTAD-GRAN CHIMU-CASCAS,Aji
3034,LAMBAYEQUE-CHICLAYO-LA VICTORIA,Tomate
3035,LAMBAYEQUE-CHICLAYO-LAGUNAS,Camote
3036,LAMBAYEQUE-CHICLAYO-TUMAN,Maiz amarillo duro
3037,LAMBAYEQUE-FERRENAFE-INCAHUASI,Camote
3038,LIMA-LIMA-COMAS,Cebolla cabeza roja
3039,LIMA-LIMA-LA MOLINA,Cebada grano
3040,LIMA-BARRANCA-PARAMONGA,Frijol grano seco
3041,LIMA-CANTA-ARAHUAY,Papa blanca
3042,LIMA-CANTA-SANTA ROSA DE QUIVES,Papa nativa
3043,LIMA-CANETE-COAYLLO,Yuca
3044,LIMA-CANETE-MALA,Yuca
3045,LIMA-CANETE-PACARAN,Yuca
