eli,DISTRITO,CULTIVO
100,HUANCAVELICA-HUANCAVELICA-MARISCAL CACERES,Haba grano seco
101,HUANCAVELICA-ACOBAMBA-PAUCARA,Ajo
102,HUANCAVELICA-ANGARAES-HUANCA-HUANCA,Frijol grano seco
103,HUANCAVELICA-CASTROVIRREYNA-TICRAPO,Zapallo
104,HUANUCO-DOS DE MAYO-CHUQUIS,Ajo
105,HUANUCO-DOS DE MAYO-PACHAS,Ajo
106,HUANUCO-DOS DE MAYO-PACHAS,Cebolla cabeza roja
107,ICA-PISCO-PISCO,Zanahoria
108,JUNIN-HUANCAYO-PILCOMAYO,Ajo
109,JUNIN-CONCEPCION-CHAMBARA,Ajo
110,JUNIN-TARMA-TARMA,Quinua
111,JUNIN-YAULI-LA OROYA,Papa color
112,JUNIN-YAULI-CHACAPALPA,Haba grano seco
113,JUNIN-YAULI-CHACAPALPA,Trigo
114,JUNIN-YAULI-SANTA ROSA DE SACCO,Papa nativa
115,JUNIN-YAULI-SUITUCANCHA,Papa blanca
116,JUNIN-CHUPACA-CHUPACA,Olluco
117,LIMA-LIMA-LA MOLINA,Trigo
118,LIMA-YAUYOS-LINCHA,Aji
119,MOQUEGUA-GENERAL SANCHEZ CERRO-MATALAQUE,Papa blanca
120,PIURA-MORROPON-YAMANGO,Ajo
121,PUNO-PUNO-PLATERIA,Maiz amarillo duro
122,PUNO-AZANGARO-AZANGARO,Trigo
123,PUNO-CHUCUITO-HUACULLANI,Olluco
124,PUNO-CHUCUITO-KELLUYO,Olluco
125,PUNO-CHUCUITO-POMATA,Maiz amilaceo
126,PUNO-CHUCUITO-POMATA,Trigo
127,PUNO-CHUCUITO-ZEPITA,Cebolla cabeza roja
128,PUNO-YUNGUYO-ANAPIA,Olluco
129,PUNO-YUNGUYO-COPANI,Cebolla cabeza roja
130,PUNO-YUNGUYO-CUTURAPI,Maiz amilaceo
131,PUNO-YUNGUYO-OLLARAYA,Olluco
132,PUNO-YUNGUYO-TINICACHI,Trigo
133,AMAZONAS-UTCUBAMBA-CUMBA,Haba grano seco
134,ANCASH-ANTONIO RAYMONDI-LLAMELLIN,Papa color
135,ANCASH-ANTONIO RAYMONDI-CHACCHO,Quinua
136,ANCASH-ANTONIO RAYMONDI-MIRGAS,Arveja grano verde
137,ANCASH-ANTONIO RAYMONDI-MIRGAS,Olluco
138,ANCASH-ANTONIO RAYMONDI-MIRGAS,Papa color
139,ANCASH-ANTONIO RAYMONDI-SAN JUAN DE RONTOY,Quinua
140,ANCASH-BOLOGNESI-HUASTA,Maiz choclo
141,ANCASH-RECUAY-RECUAY,Olluco
142,ANCASH-RECUAY-CATAC,Olluco
143,APURIMAC-ANDAHUAYLAS-PACOBAMBA,Zanahoria
144,APURIMAC-ANTABAMBA-HUAQUIRCA,Maiz choclo
145,APURIMAC-AYMARAES-TAPAIRIHUA,Arveja grano seco
146,APURIMAC-AYMARAES-YANACA,Maiz amarillo duro
147,APURIMAC-CHINCHEROS-LOS CHANKAS,Camote
148,APURIMAC-CHINCHEROS-LOS CHANKAS,Haba grano seco
149,APURIMAC-CHINCHEROS-LOS CHANKAS,Olluco
150,APURIMAC-GRAU-CHUQUIBAMBILLA,Arveja grano seco
151,APURIMAC-GRAU-CHUQUIBAMBILLA,Arveja grano verde
152,APURIMAC-GRAU-CHUQUIBAMBILLA,Haba grano seco
153,APURIMAC-GRAU-CHUQUIBAMBILLA,Olluco
154,APURIMAC-GRAU-CHUQUIBAMBILLA,Papa color
155,APURIMAC-GRAU-CHUQUIBAMBILLA,Quinua
156,APURIMAC-GRAU-CURPAHUASI,Arveja grano seco
157,APURIMAC-GRAU-CURPAHUASI,Arveja grano verde
158,APURIMAC-GRAU-CURPAHUASI,Olluco
159,APURIMAC-GRAU-CURPAHUASI,Papa blanca
160,APURIMAC-GRAU-CURPAHUASI,Papa color
161,APURIMAC-GRAU-CURPAHUASI,Quinua
162,APURIMAC-GRAU-GAMARRA,Arveja grano seco
163,APURIMAC-GRAU-GAMARRA,Arveja grano verde
164,APURIMAC-GRAU-GAMARRA,Olluco
