DEPARTAMENTO,PROVINICA,DISTRITO,Precio Promedio,Volumen Promedio,Temperatura,Humedad,Precipitación,Cultivo
1,137,995,1.33,2925.0,9.22,76.47,34.05,11
1,137,187,1.33,2925.0,9.22,76.47,34.05,11
2,5,836,0.6,10003.0,22.93,92.09,0.0,18
2,15,1246,3.3,2024.0,22.93,92.09,0.0,3
2,15,1356,1.19,214.2,22.93,92.09,0.0,9
2,47,676,0.93,4777.0,22.93,92.09,0.0,5
2,47,676,1.65,1423.0,22.93,92.09,0.0,8
2,47,676,1.33,2925.0,22.93,92.09,0.0,11
2,70,296,3.3,2024.0,22.93,92.09,0.0,3
2,70,296,3.81,3579.0,22.93,92.09,0.0,4
2,70,296,1.65,1423.0,22.93,92.09,0.0,8
2,70,296,1.33,2925.0,22.93,92.09,0.0,11
2,70,296,0.6,4525.0,22.93,92.09,0.0,13
2,70,377,3.3,2024.0,22.93,92.09,0.0,3
2,70,377,3.81,3579.0,22.93,92.09,0.0,4
2,70,377,1.33,2925.0,22.93,92.09,0.0,11
2,70,377,0.53,34789.0,22.93,92.09,0.0,12
2,70,377,0.6,4525.0,22.93,92.09,0.0,13
2,70,415,3.3,2024.0,22.93,92.09,0.0,3
2,70,415,3.81,3579.0,22.93,92.09,0.0,4
2,70,415,1.33,2925.0,22.93,92.09,0.0,11
2,70,415,0.6,4525.0,22.93,92.09,0.0,13
2,70,876,3.3,2024.0,22.93,92.09,0.0,3
2,70,876,1.65,1423.0,22.93,92.09,0.0,8
2,70,876,1.33,2925.0,22.93,92.09,0.0,11
2,70,876,0.53,34789.0,22.93,92.09,0.0,12
2,70,876,0.6,4525.0,22.93,92.09,0.0,13
2,70,1142,1.65,1423.0,5.05,68.02,14.53,8
2,70,1142,1.33,2925.0,5.05,68.02,14.53,11
2,70,1142,0.53,34789.0,5.05,68.02,14.53,12
2,70,1142,0.6,4525.0,5.05,68.02,14.53,13
2,70,1311,1.65,1423.0,22.93,92.09,0.0,8
2,70,1311,1.33,2925.0,22.93,92.09,0.0,11
2,70,1311,0.53,34789.0,22.93,92.09,0.0,12
2,70,1311,0.6,4525.0,22.93,92.09,0.0,13
2,70,1345,1.33,2925.0,22.93,92.09,0.0,11
2,70,1345,0.53,34789.0,22.93,92.09,0.0,12
2,70,1345,0.6,4525.0,22.93,92.09,0.0,13
3,38,854,1.43,1741.0,19.93,83.2,1.83,10
3,53,243,1.33,2925.0,19.93,83.2,1.83,11
3,53,1363,1.33,2925.0,19.93,83.2,1.83,11
4,24,695,1.33,2925.0,10.93,78.1,15.5,11
4,143,220,3.81,3579.0,10.93,78.1,15.5,4
4,143,527,3.81,3579.0,10.93,78.1,15.5,4
